x_m,y_m
-1.070000000000007212e+01,7.872398190045304389e-01
-1.060000000000007070e+01,7.777828054298697724e-01
-1.050000000000006928e+01,7.764705882352996857e-01
-1.035000000000006892e+01,7.800000000000055778e-01
-1.025000000000006750e+01,7.800000000000055778e-01
-1.010000000000006892e+01,7.800000000000055778e-01
-9.950000000000066791e+00,7.800000000000055778e-01
-9.850000000000065370e+00,7.800000000000055778e-01
-9.700000000000065015e+00,7.800000000000055778e-01
-9.600000000000063594e+00,7.841176470588290259e-01
-9.500000000000063949e+00,7.782805429864309010e-01
-9.400000000000062528e+00,7.661085972850734116e-01
-9.300000000000061107e+00,7.512217194570189882e-01
-9.200000000000061462e+00,7.372398190045302835e-01
-9.100000000000060041e+00,7.277828054298697280e-01
-9.000000000000060396e+00,7.264705882352995303e-01
-8.900000000000058975e+00,7.300000000000054223e-01
-8.800000000000057554e+00,7.300000000000054223e-01
-8.650000000000058975e+00,7.300000000000054223e-01
-8.550000000000055778e+00,7.300000000000054223e-01
-8.400000000000055422e+00,7.300000000000054223e-01
-8.300000000000054001e+00,7.300000000000054223e-01
-8.150000000000055422e+00,7.300000000000054223e-01
-8.000000000000053291e+00,7.300000000000054223e-01
-7.900000000000051870e+00,7.300000000000054223e-01
-7.800000000000050449e+00,7.300000000000054223e-01
-7.700000000000050804e+00,7.335294117647113143e-01
-7.600000000000049383e+00,7.322171945701412277e-01
-7.500000000000047962e+00,7.227601809954805612e-01
-7.400000000000048317e+00,7.087782805429917454e-01
-7.300000000000047784e+00,6.938914027149374331e-01
-7.200000000000046363e+00,6.817194570135798326e-01
-7.100000000000046718e+00,6.758823529411817077e-01
-7.000000000000046185e+00,6.800000000000052669e-01
-6.900000000000045652e+00,6.800000000000052669e-01
-6.800000000000044231e+00,6.800000000000052669e-01
-6.700000000000043698e+00,6.800000000000052669e-01
-6.600000000000043165e+00,6.800000000000052669e-01
-6.500000000000041744e+00,6.800000000000052669e-01
-6.400000000000041211e+00,6.800000000000052669e-01
-6.250000000000040856e+00,6.800000000000052669e-01
-6.150000000000039435e+00,6.800000000000052669e-01
-6.050000000000039790e+00,6.835294117647112699e-01
-5.950000000000039257e+00,6.822171945701410722e-01
-5.850000000000037836e+00,6.727601809954801837e-01
-5.750000000000037303e+00,6.587782805429912569e-01
-5.650000000000036771e+00,6.438914027149366115e-01
-5.550000000000035350e+00,6.317194570135789000e-01
-5.450000000000034817e+00,6.258823529411805531e-01
-5.350000000000034284e+00,6.300000000000041123e-01
-5.250000000000033751e+00,6.300000000000041123e-01
-5.100000000000033396e+00,6.300000000000041123e-01
-5.000000000000031974e+00,6.300000000000041123e-01
-4.900000000000031442e+00,6.300000000000041123e-01
-4.800000000000030909e+00,6.300000000000041123e-01
-4.650000000000030553e+00,6.300000000000041123e-01
-4.550000000000029132e+00,6.300000000000041123e-01
-4.450000000000028599e+00,6.300000000000041123e-01
-4.350000000000028066e+00,6.300000000000041123e-01
-4.250000000000026645e+00,6.300000000000041123e-01
-4.150000000000026112e+00,6.341176470588276715e-01
-4.050000000000025580e+00,6.282805429864295466e-01
-3.950000000000025047e+00,6.161085972850720571e-01
-3.850000000000024514e+00,6.012217194570176337e-01
-3.750000000000023537e+00,5.872398190045289290e-01
-3.650000000000022560e+00,5.777828054298682625e-01
-3.550000000000022027e+00,5.764705882352981758e-01
-3.450000000000021494e+00,5.800000000000040679e-01
-3.350000000000020961e+00,5.800000000000040679e-01
-3.250000000000019984e+00,5.800000000000040679e-01
-3.150000000000019451e+00,5.800000000000040679e-01
-3.050000000000018474e+00,5.800000000000040679e-01
-2.950000000000018385e+00,5.800000000000040679e-01
-2.850000000000017408e+00,5.800000000000040679e-01
-2.750000000000016875e+00,5.800000000000040679e-01
-2.650000000000015898e+00,5.800000000000040679e-01
-2.550000000000015810e+00,5.800000000000040679e-01
-2.450000000000014388e+00,5.800000000000040679e-01
-2.350000000000013856e+00,5.800000000000040679e-01
-2.250000000000012879e+00,5.800000000000040679e-01
-2.150000000000011902e+00,5.800000000000040679e-01
-2.050000000000011369e+00,5.800000000000040679e-01
-1.950000000000010392e+00,5.800000000000040679e-01
-1.850000000000009859e+00,5.800000000000040679e-01
-1.750000000000009104e+00,5.800000000000040679e-01
-1.650000000000008571e+00,5.841176470588275160e-01
-1.550000000000007594e+00,5.782805429864293911e-01
-1.450000000000007061e+00,5.661085972850719017e-01
-1.350000000000006528e+00,5.512217194570174783e-01
-1.250000000000005551e+00,5.372398190045288846e-01
-1.150000000000005018e+00,5.277828054298681071e-01
-1.050000000000004263e+00,5.264705882352980204e-01
-9.500000000000035083e-01,5.300000000000038014e-01
-8.500000000000030864e-01,5.300000000000038014e-01
-7.500000000000022204e-01,5.300000000000038014e-01
-6.500000000000016875e-01,5.300000000000038014e-01
-5.500000000000009326e-01,5.300000000000038014e-01
-4.500000000000001776e-01,5.300000000000038014e-01
-3.499999999999996447e-01,5.300000000000038014e-01
-2.499999999999987788e-01,5.300000000000038014e-01
-1.499999999999982181e-01,5.300000000000038014e-01
-4.999999999999750477e-02,5.341176470588273606e-01
5.000000000000322936e-02,5.282805429864292357e-01
1.500000000000037692e-01,5.161085972850716352e-01
2.500000000000046629e-01,5.012217194570173229e-01
3.500000000000051958e-01,4.872398190045286182e-01
4.500000000000059508e-01,4.777828054298679517e-01
5.500000000000065947e-01,4.764705882352978650e-01
6.500000000000072387e-01,4.800000000000037570e-01
7.500000000000081046e-01,4.800000000000037570e-01
8.500000000000085265e-01,4.800000000000037570e-01
9.500000000000093925e-01,4.800000000000037570e-01
1.050000000000010036e+00,4.800000000000037570e-01
